Contact,Iteration,Value
0,0,0.015255
1,0,0.015255
2,0,0.015255
3,0,0.001019
4,0,0.001019
5,0,0.001019
6,0,0.021182
7,0,0.021182
8,0,0.021182
9,0,0.002379
10,0,0.002379
11,0,0.002379
12,0,0.002962
13,0,0.001717
14,0,0.000901
15,0,0.000726
16,0,-0.000083
17,0,-0.000094
18,0,0.000501
19,0,-0.000220
0,1,0.007789
1,1,0.007789
2,1,0.007789
3,1,0.002744
4,1,0.002744
5,1,0.002744
6,1,0.001803
7,1,0.001803
8,1,0.001803
9,1,0.002680
10,1,0.002680
11,1,0.002680
12,1,-0.000607
13,1,0.000191
14,1,-0.000435
15,1,0.000032
16,1,-0.000291
17,1,-0.000067
18,1,-0.000242
19,1,-0.000111
0,2,-0.000746
1,2,-0.000746
2,2,-0.000746
3,2,0.002449
4,2,0.002449
5,2,0.002449
6,2,-0.001714
7,2,-0.001714
8,2,-0.001714
9,2,0.002168
10,2,0.002168
11,2,0.002168
12,2,-0.000288
13,2,-0.000070
14,2,-0.000248
15,2,-0.000106
16,2,-0.000194
17,2,-0.000125
18,2,-0.000191
19,2,-0.000148
0,3,-0.001972
1,3,-0.001972
2,3,-0.001972
3,3,0.001888
4,3,0.001888
5,3,0.001888
6,3,-0.001924
7,3,-0.001924
8,3,-0.001924
9,3,0.001631
10,3,0.001631
11,3,0.001631
12,3,-0.000183
13,3,-0.000104
14,3,-0.000159
15,3,-0.000128
16,3,-0.000127
17,3,-0.000117
18,3,-0.000123
19,3,-0.000134
0,4,-0.001758
1,4,-0.001758
2,4,-0.001758
3,4,0.001402
4,4,0.001402
5,4,0.001402
6,4,-0.001556
7,4,-0.001556
8,4,-0.001556
9,4,0.001202
10,4,0.001202
11,4,0.001202
12,4,-0.000119
13,4,-0.000089
14,4,-0.000100
15,4,-0.000108
16,4,-0.000082
17,4,-0.000089
18,4,-0.000078
19,4,-0.000102
0,5,-0.001355
1,5,-0.001355
2,5,-0.001355
3,5,0.001030
4,5,0.001030
5,5,0.001030
6,5,-0.001170
7,5,-0.001170
8,5,-0.001170
9,5,0.000881
10,5,0.000881
11,5,0.000881
12,5,-0.000077
13,5,-0.000066
14,5,-0.000062
15,5,-0.000080
16,5,-0.000053
17,5,-0.000063
18,5,-0.000049
19,5,-0.000071
0,6,-0.001006
1,6,-0.001006
2,6,-0.001006
3,6,0.000754
4,6,0.000754
5,6,0.000754
6,6,-0.000863
7,6,-0.000863
8,6,-0.000863
9,6,0.000645
10,6,0.000645
11,6,0.000645
12,6,-0.000049
13,6,-0.000046
14,6,-0.000039
15,6,-0.000055
16,6,-0.000034
17,6,-0.000042
18,6,-0.000030
19,6,-0.000048
0,7,-0.000739
1,7,-0.000739
2,7,-0.000739
3,7,0.000551
4,7,0.000551
5,7,0.000551
6,7,-0.000632
7,7,-0.000632
8,7,-0.000632
9,7,0.000471
10,7,0.000471
11,7,0.000471
12,7,-0.000031
13,7,-0.000030
14,7,-0.000025
15,7,-0.000037
16,7,-0.000021
17,7,-0.000028
18,7,-0.000019
19,7,-0.000031
0,8,-0.000541
1,8,-0.000541
2,8,-0.000541
3,8,0.000403
4,8,0.000403
5,8,0.000403
6,8,-0.000462
7,8,-0.000462
8,8,-0.000462
9,8,0.000344
10,8,0.000344
11,8,0.000344
12,8,-0.000020
13,8,-0.000020
14,8,-0.000015
15,8,-0.000024
16,8,-0.000014
17,8,-0.000018
18,8,-0.000012
19,8,-0.000020
0,9,-0.000395
1,9,-0.000395
2,9,-0.000395
3,9,0.000295
4,9,0.000295
5,9,0.000295
6,9,-0.000338
7,9,-0.000338
8,9,-0.000338
9,9,0.000252
10,9,0.000252
11,9,0.000252
12,9,-0.000012
13,9,-0.000013
14,9,-0.000010
15,9,-0.000015
16,9,-0.000009
17,9,-0.000011
18,9,-0.000007
19,9,-0.000013
0,10,-0.000289
1,10,-0.000289
2,10,-0.000289
3,10,0.000215
4,10,0.000215
5,10,0.000215
6,10,-0.000247
7,10,-0.000247
8,10,-0.000247
9,10,0.000184
10,10,0.000184
11,10,0.000184
12,10,-0.000008
13,10,-0.000008
14,10,-0.000006
15,10,-0.000010
16,10,-0.000005
17,10,-0.000007
18,10,-0.000005
19,10,-0.000008
0,11,-0.000211
1,11,-0.000211
2,11,-0.000211
3,11,0.000157
4,11,0.000157
5,11,0.000157
6,11,-0.000181
7,11,-0.000181
8,11,-0.000181
9,11,0.000135
10,11,0.000135
11,11,0.000135
12,11,-0.000005
13,11,-0.000005
14,11,-0.000004
15,11,-0.000006
16,11,-0.000004
17,11,-0.000004
18,11,-0.000003
19,11,-0.000005
0,12,-0.000154
1,12,-0.000154
2,12,-0.000154
3,12,0.000115
4,12,0.000115
5,12,0.000115
6,12,-0.000132
7,12,-0.000132
8,12,-0.000132
9,12,0.000098
10,12,0.000098
11,12,0.000098
12,12,-0.000003
13,12,-0.000003
14,12,-0.000003
15,12,-0.000004
16,12,-0.000002
17,12,-0.000003
18,12,-0.000002
19,12,-0.000003
0,13,-0.000113
1,13,-0.000113
2,13,-0.000113
3,13,0.000084
4,13,0.000084
5,13,0.000084
6,13,-0.000097
7,13,-0.000097
8,13,-0.000097
9,13,0.000072
10,13,0.000072
11,13,0.000072
12,13,-0.000002
13,13,-0.000002
14,13,-0.000002
15,13,-0.000002
16,13,-0.000002
17,13,-0.000002
18,13,-0.000001
19,13,-0.000002
0,14,-0.000083
1,14,-0.000083
2,14,-0.000083
3,14,0.000061
4,14,0.000061
5,14,0.000061
6,14,-0.000071
7,14,-0.000071
8,14,-0.000071
9,14,0.000053
10,14,0.000053
11,14,0.000053
12,14,-0.000001
13,14,-0.000001
14,14,-0.000001
15,14,-0.000001
16,14,-0.000001
17,14,-0.000001
18,14,-0.000001
19,14,-0.000001
0,15,-0.000060
1,15,-0.000060
2,15,-0.000060
3,15,0.000045
4,15,0.000045
5,15,0.000045
6,15,-0.000052
7,15,-0.000052
8,15,-0.000052
9,15,0.000038
10,15,0.000038
11,15,0.000038
12,15,-0.000001
13,15,-0.000001
14,15,-0.000001
15,15,-0.000001
16,15,-0.000001
17,15,-0.000001
18,15,-0.000000
19,15,-0.000001
0,16,-0.000044
1,16,-0.000044
2,16,-0.000044
3,16,0.000033
4,16,0.000033
5,16,0.000033
6,16,-0.000038
7,16,-0.000038
8,16,-0.000038
9,16,0.000028
10,16,0.000028
11,16,0.000028
12,16,-0.000000
13,16,-0.000001
14,16,-0.000001
15,16,-0.000001
16,16,-0.000001
17,16,-0.000000
18,16,-0.000000
19,16,-0.000001
0,17,-0.000032
1,17,-0.000032
2,17,-0.000032
3,17,0.000024
4,17,0.000024
5,17,0.000024
6,17,-0.000028
7,17,-0.000028
8,17,-0.000028
9,17,0.000021
10,17,0.000021
11,17,0.000021
12,17,-0.000000
13,17,-0.000000
14,17,-0.000000
15,17,-0.000000
16,17,-0.000000
17,17,-0.000000
18,17,0.000000
19,17,-0.000000
0,18,-0.000024
1,18,-0.000024
2,18,-0.000024
3,18,0.000018
4,18,0.000018
5,18,0.000018
6,18,-0.000020
7,18,-0.000020
8,18,-0.000020
9,18,0.000015
10,18,0.000015
11,18,0.000015
12,18,0.000000
13,18,-0.000000
14,18,-0.000000
15,18,-0.000000
16,18,-0.000000
17,18,-0.000000
18,18,0.000000
19,18,-0.000000
0,19,-0.000017
1,19,-0.000017
2,19,-0.000017
